City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
حدود ‏المملكة العربية السعودية‎,ISS031-E-9198,22.6,42.5,29.7248676,42.2362435,22.6,42.5,NIKON D3S S/N: 2008336,20120429,174022,215.0,301.0,-27.0,1/125,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=9198,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-9198.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-9198.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-9198.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=22.6&lon=42.5
حدود ‏المملكة العربية السعودية‎,ISS031-E-9198,22.6,42.5,29.7248676,42.2362435,22.6,42.5,NIKON D3S S/N: 2008336,20120429,174022,215.0,301.0,-27.0,1/125,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS031&roll=E&frame=9198,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS031/ISS031-E-9198.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS031/ISS031-E-9198.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS031/ISS031-E-9198.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=22.6&lon=42.5
حدود ‏المملكة العربية السعودية‎,ISS030-E-274682,21.8,42.9,29.7248676,42.2362435,21.8,42.9,NIKON D3X S/N: 5033252,20120220,211556,209.0,352.0,-79.0,1/25,1200.0 mm,8.0,Hi 6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=274682,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-274682.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-274682.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-274682.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=21.8&lon=42.9
Panamá,ISS030-E-167963,9.6,-78.4,8.537981,-80.782127,9.6,-78.4,NIKON D3S S/N: 2053892,20120320,074148,215.0,77.0,-54.0,1/15,85.0 mm,2.0,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=167963,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-167963.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-167963.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-167963.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=9.6&lon=-78.4
Eire,ISS030-E-204839,44.9,-17.0,53.41291,-8.24389,44.9,-17.0,NIKON D3S S/N: 2007931,20120403,010138,212.0,357.0,-40.0,0.3,28.0 mm,1.4,3200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=204839,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-204839.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-204839.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-204839.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=44.9&lon=-17.0
Izmir,ISS030-E-275007,39.3,27.3,38.41885,27.12872,39.3,27.3,NIKON D3 S/N: 2054926,20120403,205845,212.0,335.0,-42.0,1/30,400.0 mm,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=275007,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-275007.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-275007.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-275007.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.3&lon=27.3
Italia,ISS030-E-223727,46.3,11.2,41.87194,12.56738,46.3,11.2,NIKON D3S S/N: 2053892,20120405,221523,212.0,341.0,-36.0,1/13,85.0 mm,1.4,5000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=223727,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-223727.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-223727.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-223727.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=46.3&lon=11.2
Istambul,ISS037-E-18651,39.6,26.4,41.00527,28.97696,39.6,26.4,NIKON D3S S/N: 2007945,20131022,183108,222.0,287.0,-36.0,1/8,50.0 mm,1.4,8000,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS037&roll=E&frame=18651,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS037/ISS037-E-18651.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS037/ISS037-E-18651.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS037/ISS037-E-18651.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.6&lon=26.4
حدود ‏المملكة العربية السعودية‎,ISS034-E-51173,19.9,43.2,29.7248676,42.2362435,19.9,43.2,NIKON D3S S/N: 2008336,20130217,205241,223.0,319.0,-79.0,1/40,400.0 mm,3.2,51200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=51173,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-51173.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-51173.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-51173.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=19.9&lon=43.2
Rio de Janeiro,ISS027-E-30659,-24.0,-41.0,-22.9082998,-43.1970773,-24.0,-41.5,NIKON D3S S/N: 2007935,20110511,235641,187.0,269.0,-51.0,1/20,135.0 mm,3.2,12800,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=30659,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-30659.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS027/ISS027-E-30659.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS027/ISS027-E-30659.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=-24.0&lon=-41.5
