ISS-ID,loncity,latcity,lens,large,coordimage,CoordFLAG
ISS030-E-211441,-0.1277583,51.5073509,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211441.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.1&lon=1.8,5.0
ISS030-E-211441,-0.1277583,51.5073509,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211441.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.1&lon=1.8,5.0
ISS030-E-211441,-0.1277583,51.5073509,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211441.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.1&lon=1.8,5.0
ISS030-E-211441,-0.1277583,51.5073509,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211441.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.1&lon=1.8,5.0
ISS030-E-211441,-0.1277583,51.5073509,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211441.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.1&lon=1.8,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211468,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211468.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.1&lon=17.1,5.0
ISS030-E-211471,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211471.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=17.4,5.0
