linkData,link_big,idiss,link_small,citylat,n_answers,coordimage,citylon,focal
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS027&roll=E&frame=20156,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS027/ISS027-E-20156.JPG,20156,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS027/ISS027-E-20156.JPG,42.3584308,,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.8&lon=-63.5,-71.0597732,200
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=177051,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-177051.JPG,177051,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-177051.JPG,51.233225,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.6&lon=4.6,6.757097,180
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172044,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172044.JPG,172044,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172044.JPG,39.033841,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.0&lon=120.2,125.742603,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=211515,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211515.JPG,211515,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-211515.JPG,44.427328,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=44.5&lon=27.4,26.092683,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=166464,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-166464.JPG,166464,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-166464.JPG,31.782586,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.0&lon=-104.4,-106.285185,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172348,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172348.JPG,172348,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172348.JPG,31.242899,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=30.7&lon=120.4,121.471167,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=224763,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-224763.JPG,224763,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-224763.JPG,50.422434,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=50.4&lon=14.7,14.92626,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=195602,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195602.JPG,195602,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-195602.JPG,39.070471,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.9&lon=-108.0,-108.546021,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172101,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172101.JPG,172101,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172101.JPG,25.771024,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.8&lon=-79.5,-80.126404,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172733,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172733.JPG,172733,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172733.JPG,37.789082,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.3&lon=-121.1,-122.387834,85
